symbol,strategy,calmar,win_rate,trades,avg_pnl,sharpe
WDO$N,MEAN_REVERSION,5.6648497833614835,0.4888888888888889,45,,
DOL$N,MEAN_REVERSION,2.5391898562044366,0.4594594594594595,37,,
BIT$N,MEAN_REVERSION,1.6228234194247972,0.52,25,,
ICF$N,MEAN_REVERSION,1.5777054707398304,0.5,34,,
CCM$N,MEAN_REVERSION,0.43661338973125396,0.375,24,,
DI1$N,MEAN_REVERSION,0.4210208354875993,0.42857142857142855,63,,
BGI$N,MEAN_REVERSION,0.0,0.2727272727272727,22,,
IND$N,MEAN_REVERSION,0.0,0.3,10,,
WIN$N,VOLATILITY_BREAKOUT,-0.028003965278519706,0.2727272727272727,110,,
WSP$N,MEAN_REVERSION,-0.34459302703544986,0.45454545454545453,11,,
